Month,Load,life_decrement(In Hrs)
2017-01-03,1604.0537703638859,2.34
2017-01-04,1675.3115285466213,2.36
2017-01-05,1754.6620316985575,2.38
2017-01-06,1570.1479822521728,2.32
2017-01-07,1512.979877594604,2.31
2017-01-08,1338.15639969925,2.24
2017-01-09,1556.0443058588905,2.32
2017-01-10,1508.623980393156,2.3
2017-01-11,1569.2396895571512,2.32
2017-01-12,1641.3181868805896,2.35
2017-01-31,1594.536473280044,2.33
2017-02-28,1551.9328108004058,2.32
2017-03-31,1581.297212516864,2.33
2017-04-30,1424.5386156320124,2.27
2017-05-31,1735.1864180202383,2.37
2017-06-30,1662.7459770621513,2.35
2017-07-31,1685.0464776642734,2.36
2017-08-31,1796.335782665386,2.39
2017-09-30,1538.1322761839049,2.31
2017-10-31,1553.759380071107,2.32
2017-11-30,1781.260276022874,2.38
2017-12-31,1418.9395464642962,2.27
2018-01-31,1686.7640899058442,2.36
2018-02-28,1649.3570437753835,2.35
2018-03-31,1559.5201828057918,2.32
2018-04-30,1680.921728538063,2.36
2018-05-31,1845.0088685397627,2.0
2018-06-30,1639.0811024662698,2.35
2018-07-31,1673.2546951464803,2.36
2018-08-31,1641.5599976695373,2.35
2018-09-30,1397.5738056196083,2.26
2018-10-31,1652.799849560228,2.35
2018-11-30,1635.558405046382,2.34
2018-12-31,1672.003391600876,2.36
2019-01-31,1789.8686951154361,2.39
2019-02-28,1757.8379952421992,2.38
2019-03-31,1421.7692650786707,2.27
2019-04-30,1672.544641412919,2.36
2019-05-31,1693.3890886673075,2.36
2019-06-30,1499.2879683238991,2.3
2019-07-31,1769.4605875180505,2.38
2019-08-31,1616.216929020214,2.34
2019-09-30,1650.9236748711562,2.35
2019-10-31,1762.9037713823298,2.38
2019-11-30,1619.1857357875963,2.34
2019-12-31,1660.1061518993924,2.35
2020-01-31,1631.55471425692,2.34
2020-02-29,1563.4633280788116,2.32
2020-03-31,1642.0406348066317,2.35
2020-04-30,1853.8503015435851,2.0
2020-05-31,1507.9519541535396,2.3
2020-06-30,1725.2194380904969,2.37
2020-07-31,1710.5694153002842,2.37
2020-08-31,1718.1755059804634,2.37
2020-09-30,1722.6687223965805,2.37
2020-10-31,1563.685263291905,2.32
2020-11-30,1693.9354116576403,2.36
2020-12-31,1851.364489551077,2.0
2021-01-31,1466.2610117315576,2.29
2021-02-28,1423.6573492515936,2.27
2021-03-31,1741.2262681467262,2.37
2021-04-30,1703.0693910185573,2.36
2021-05-31,1763.619634234702,2.38
2021-06-30,1822.6750326923714,2.39
2021-07-31,1685.824621000938,2.36
2021-08-31,1705.80464236133,2.36
2021-09-30,1830.0268357156726,2.0
2021-10-31,1425.4839185222681,2.27
2021-11-30,1690.7291357188462,2.36
2021-12-31,1697.4703218502568,2.36
2022-01-31,1715.1973061194165,2.37
2022-02-28,1677.7902599893598,2.36
2022-03-31,1851.4147423376435,2.0
2022-04-30,1681.6998718740647,2.36
2022-05-31,1754.4777282356868,2.38
2022-06-30,1930.9756619984616,2.2
2022-07-31,1544.9792335976995,2.32
2022-08-31,1801.4890532995269,2.39
2022-09-30,1676.1045810062044,2.36
2022-10-31,1681.2330657748946,2.36
2022-11-30,1795.4874606760502,2.39
2022-12-31,1672.7815349377827,2.36
2023-01-31,1699.3375548114395,2.36
2023-02-28,1667.3068549380148,2.35
2023-03-31,1700.3000404649026,2.36
2023-04-30,1544.2691798635583,2.32
2023-05-31,1853.3181442965683,2.0
2023-06-30,1777.8187437105912,2.38
2023-07-31,1797.893803731817,2.39
2023-08-31,1908.1114885522868,2.1
2023-09-30,1651.7018182078425,2.35
2023-10-31,1672.3726310781647,2.36
2023-11-30,1911.0802953192733,2.1
2023-12-31,1531.830690350454,2.31
2024-01-31,1791.483769886232,2.39
2024-02-29,1855.3578876108536,2.0
2024-03-31,1513.7651732579036,2.31
2024-04-30,1763.3191612398575,2.38
2024-05-31,1786.4827295398004,2.39
2024-06-30,1596.943976541637,2.33
2024-07-31,1870.498470929982,2.1
2024-08-31,1718.9536493167307,2.37
2024-09-30,1751.101938610662,2.38
2024-10-31,1855.579822824019,2.0
2024-11-30,1694.7135549941352,2.36
2024-12-31,1760.8333492469653,2.38
2025-01-31,1744.7917871181392,2.37
2025-02-28,1702.188124638337,2.36
2025-03-31,1769.6594843604144,2.38
2025-04-30,1862.9984466480566,2.0
2025-05-31,1764.3977775715025,2.38
2025-06-30,1851.108248906105,2.0
2025-07-31,1977.7191805334683,2.3
2025-08-31,1577.5291808124089,2.33
2025-09-30,1739.495695411519,2.37
2025-10-31,1704.0146939088054,2.36
2025-11-30,1562.4536741700133,2.32
2025-12-31,1857.3993774804014,2.0
2026-01-31,1715.975449456171,2.37
2026-02-28,1678.5684033258744,2.36
2026-03-31,1760.8836020339352,2.38
2026-04-30,1973.594431406123,2.3
2026-05-31,1626.2022666869957,2.34
2026-06-30,1840.4445216943784,2.0
2026-07-31,1823.510008983843,2.39
2026-08-31,1829.9222695135727,2.0
2026-09-30,1836.0336366352476,2.0
2026-10-31,1682.011209111082,2.36
2026-11-30,1823.920676890113,2.39
2026-12-31,1964.6760944695438,2.3
2027-01-31,1571.0620932623328,2.32
2027-02-28,1539.0313933890016,2.31
2027-03-31,1860.229096094866,2.0
2027-04-30,1822.7999552502417,2.39
2027-05-31,1881.7513605111028,2.1
2027-06-30,1937.7477993402595,2.2
2027-07-31,1798.6719470687447,2.39
2027-08-31,1817.580348248212,2.39
2027-09-30,1943.59637773992,2.2
2027-10-31,1544.097169529726,2.32
2027-11-30,1820.5491550156469,2.39
2027-12-31,1810.3614657365854,2.39
2028-01-31,1819.9169861007736,2.39
2028-02-29,1764.82674730671,2.38
2028-03-31,1792.2959486436964,2.39
2028-04-30,1635.0436996908866,2.34
2028-05-31,1946.4117851693752,2.2
2028-06-30,1875.4747519279747,2.1
2028-07-31,1898.9316871444898,2.1
2028-08-31,2010.8482088488383,2.3
2028-09-30,1751.8800819471467,2.38
2028-10-31,1765.0486825199027,2.38
2028-11-30,1986.6081145263443,2.3
2028-12-31,1632.5578876980899,2.34
2029-01-31,1904.720842747895,2.1
2029-02-28,1862.1171802678548,2.0
2029-03-31,1770.4376276974526,2.38
2029-04-30,1891.431662862572,2.1
2029-05-31,2056.2923371034403,2.4
2029-06-30,1851.8863922432843,2.0
2029-07-31,1887.1880402292527,2.1
2029-08-31,1856.0599561988727,2.0
2029-09-30,1611.2202338631719,2.34
2029-10-31,1863.9437495381624,2.0
2029-11-30,1840.9844495567463,2.0
2029-12-31,1885.832593694184,2.1
2030-01-31,2007.8700089879187,2.3
2030-02-28,1970.4629628583025,2.3
2030-03-31,1632.6081404850897,2.34
2030-04-30,1883.0632911019422,2.1
2030-05-31,1904.7330420739236,2.1
2030-06-30,1712.1690601456012,2.37
2030-07-31,1983.4390646136449,2.3
2030-08-31,1830.7004128492094,2.0
2030-09-30,1864.4668528506406,2.0
2030-10-31,1973.905768642826,2.3
2030-11-30,1824.6988202256427,2.39
2030-12-31,1874.1449541656598,2.1
2031-01-31,1849.5928686490015,2.0
2031-02-28,1817.5621687759156,2.39
2031-03-31,1888.662312309653,2.1
2031-04-30,1982.7290108810803,2.3
2031-05-31,1882.529503846911,2.1
2031-06-30,1966.1810155551048,2.3
2031-07-31,2090.5665066003544,2.5
2031-08-31,1689.304886699419,2.36
2031-09-30,1853.0652374349986,2.0
2031-10-31,1822.6279449152598,2.39
2031-11-30,1692.2736934668203,2.36
2031-12-31,1970.290521367354,2.3
2032-01-31,1820.695129436714,2.39
2032-02-29,1636.5512857578608,2.34
2032-03-31,1952.2250042745018,2.2
2032-04-30,1913.5744750767542,2.1
2032-05-31,1974.8450013850304,2.3
2032-06-30,2035.4038075584758,2.4
2032-07-31,1899.7098304806955,2.1
2032-08-31,1920.317068544813,2.2
2032-09-30,2043.7746414788537,2.4
2032-10-31,1636.7732209715796,2.35
2032-11-30,1896.076974221775,2.1
2032-12-31,1911.0886630846446,2.1
2033-01-31,1933.154058962788,2.2
2033-02-28,1890.5503964830243,2.1
2033-03-31,2062.3321872289457,2.4
2033-04-30,1892.2098061985614,2.1
2033-05-31,1965.76119679894,2.3
2033-06-30,2143.780951774444,2.6
2033-07-31,1758.9125786802163,2.38
2033-08-31,2015.9890118297376,2.4
2033-09-30,1889.7510092493826,2.1
2033-10-31,1892.3769657531075,2.1
2033-11-30,2000.9135051869393,2.3
2033-12-31,1886.6107370306913,2.1
2034-01-31,1917.3388686835021,2.2
2034-02-28,1879.9318225533366,2.1
2034-03-31,1911.1389158715679,2.1
2034-04-30,1754.7878295534033,2.38
2034-05-31,2064.662097703928,2.4
2034-06-30,1990.6998355324417,2.3
2034-07-31,2011.8722808289417,2.3
2034-08-31,2122.594972381501,2.6
2034-09-30,1865.2449961859054,2.0
2034-10-31,1883.3746283388407,2.1
2034-11-30,2116.5933797580224,2.5
2034-12-31,1745.8694926167468,2.38
2035-01-31,2009.5219242793776,2.3
2035-02-28,1977.491224406575,2.3
2035-03-31,1889.4404556451614,2.1
2035-04-30,2011.1622270950252,2.3
2035-05-31,2174.4240633791414,2.6
2035-06-30,1966.9591588902508,2.3
2035-07-31,2000.0353662964353,2.3
2035-08-31,1967.8356620856737,2.3
2035-09-30,1724.7897758866357,2.37
2035-10-31,1982.5570005464422,2.3
2035-11-30,1970.8044688527923,2.3
2035-12-31,1998.7237375818158,2.3
2036-01-31,2112.5896889687883,2.5
2036-02-29,1915.0820611444076,2.2
2036-03-31,1980.6582204888662,2.3
2036-04-30,2073.5035307076955,2.5
2036-05-31,1975.6231447200569,2.3
2036-06-30,2063.837023772892,2.4
2036-07-31,2191.604390012489,2.7
2036-08-31,1792.0416069962662,2.39
2036-09-30,1953.2435011746734,2.2
2036-10-31,1915.3039963580459,2.2
2036-11-30,1767.8015126734033,2.38
2036-12-31,2071.017718715231,2.5
